open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1755514560000,4269.11,4271.1,4268.75,4270.39,103.1703,1755514619999,440504.797475,1702,59.317,253264.259378,0
1755514620000,4270.39,4270.39,4259.23,4259.24,2952.8075,1755514679999,12586565.484408,7699,1266.4207,5397641.110515,0
1755514680000,4259.23,4263.5,4258.6,4263.5,410.9752,1755514739999,1751006.239344,2376,157.7676,672222.60739,0
1755514740000,4263.5,4264.29,4261.32,4264.29,150.1541,1755514799999,640109.979631,1580,78.6161,335144.693222,0
1755514800000,4264.29,4265.26,4261.53,4262.6,285.1951,1755514859999,1215851.47198,2677,132.7818,566016.137529,0
1755514860000,4262.6,4263.96,4260.84,4261.73,126.7364,1755514919999,540162.394939,1574,75.98,323823.046856,0
1755514920000,4261.74,4268.32,4261.74,4267.8,404.7053,1755514979999,1726190.533104,1643,266.0355,1134571.086728,0
1755514980000,4267.8,4270.0,4267.8,4268.41,357.7569,1755515039999,1527132.127091,1541,266.1066,1135881.052331,0
1755515040000,4268.4,4271.5,4268.4,4269.67,187.0467,1755515099999,798738.404327,1251,118.1092,504354.152788,0
1755515100000,4269.66,4269.66,4266.36,4266.67,162.5434,1755515159999,693691.87697,1593,49.5192,211327.603133,0
1755515160000,4266.67,4267.31,4265.47,4266.99,122.8578,1755515219999,524164.470286,1060,64.1296,273605.548397,0
1755515220000,4267.0,4270.99,4265.9,4270.98,122.7145,1755515279999,523749.938071,1602,78.8016,336343.105226,0
1755515280000,4270.99,4271.6,4270.15,4270.74,58.3869,1755515339999,249356.042327,695,32.4091,138402.288603,0
1755515340000,4270.76,4270.87,4266.86,4268.46,226.8523,1755515399999,968501.554148,1517,41.8697,178703.071796,0
1755515400000,4268.46,4268.46,4266.0,4266.14,49.2311,1755515459999,210075.151759,1158,23.2359,99145.702474,0
1755515460000,4266.13,4270.75,4265.38,4270.75,137.1974,1755515519999,585491.034694,1749,79.3599,338736.576344,0
1755515520000,4270.75,4272.47,4270.75,4272.04,190.6496,1755515579999,814394.534719,1289,136.6688,583805.743768,0
1755515580000,4272.04,4274.98,4272.04,4274.98,264.7505,1755515639999,1131363.954423,1526,192.8955,824267.712987,0
1755515640000,4274.97,4274.98,4272.11,4272.78,98.5562,1755515699999,421186.670378,913,25.3618,108385.351824,0
